,resto_id,name,cuisine_type,is_official,lat,long,location,average_price,overall_rating,rating_rasa,rating_suasana,rating_harga_rasa,rating_pelayanan,rating_kebersihan,open_time,payment_method,wifi,delivery,smoking_area,outdor_area,24hour,100%_halal,VIP_room,reservation,parking_area,alcohol,vegetarian
1130,164240187617835,Woodlane Coffee,[ Minuman ],False,-6.907324,107.616861," The Saparua Jl. Ambon No. 15, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,3.0,4.0,2.0,5.0,2.0,2.0,Senin - Minggu (10:00 - 22:00),Tunai,no,no,yes,no,no,yes,no,no,yes,no,no
1131,1642401877558211,Balista Signature,[ Jepang ],False,-6.9054871,107.6167974," Jl. Banda No. 32, Banda, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,3.73,4.1,3.3,4.0,3.8,3.5,"Senin - Jumat (10:00 - 22:00 ), Sabtu (10:00 - 23:00), Minggu (10:00 - 22:00)",Tunai,yes,no,yes,yes,no,yes,no,yes,yes,no,no
1132,1642401883225596,Baper Dimsum,[ China ],False,-6.9075451,107.6167964," Jl. Ambon (Depan GOR Saparua), Riau, Bandung ", Di bawah Rp. 50.000 /orang ,3.05,3.1,2.8,3.3,3.3,2.9,Senin - Minggu (16:00 - 22:00),"Tunai,Go-pay",no,no,yes,no,no,yes,no,no,no,no,no
1133,1642401886610763,De'Cameo,[ Kafe ],False,-6.91197,107.617519," Jl. Banda No. 2, Banda, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,"Senin - Sabtu (11:00 - 23:00), Minggu Tutup","Tunai,Debet,Go-pay,Ovo",no,no,yes,no,no,yes,no,no,no,no,no
1134,1642401887334092,Eagle Foodtruck,[ Barat ],False,-6.911821,107.627066," Mouton Slice And Grill Jl. Gandapura No. 56, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,"Senin - Kamis (17:00 - 23:00), Jumat - Sabtu (17:00 - 24:00), Minggu (17:00 - 23:00)","Tunai,Visa,Master,Debet",yes,no,yes,no,no,yes,no,no,yes,no,no
1135,1642401887925577,Tenno,[ Jepang ],False,-6.905147,107.623068," Krang Kring Jl. Ciliwung No. 1 - 3, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,"Senin - Kamis (09:00 - 10:30), Jumat - Sabtu (09:00 - 11:30), Minggu (09:00 - 10:30)","Tunai,Visa,Master,Debet",yes,no,yes,yes,no,yes,no,yes,yes,no,no
1136,1642401888540919,Abhati Coffee & Tea,[ Kafe ],False,-6.91187,107.617513," Jl. Banda No. 13, Banda, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,Senin - Minggu (15:00 - 24:00),Tunai,not sure,not sure,yes,yes,no,yes,no,not sure,no,no,no
1137,1642401889163266,27 Coffee & Pastry,[ Kafe ],False,-6.911569,107.631466," Jl. Bengawan No. 27, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,3.6,4.0,4.0,4.0,3.0,3.0,"Selasa - Minggu (08:00 - 24:00), Senin Tutup",Tunai,yes,no,yes,yes,no,yes,no,no,no,no,no
1138,1642401890559684,Tempo Doeloe,[ Indonesia ],False,-6.905067,107.623083," Krang Kring Jl. Ciliwung No. 1 - 3, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,"Senin - Jumat (10:00 - 22:00), Sabtu (10:00 - 23:00), Minggu (10:00 - 22:00)","Tunai,Go-pay,Ovo",yes,no,yes,yes,no,yes,no,no,yes,no,no
1139,164240189114281,Mie Ayam XY 27,[ Indonesia ],False,-6.908998,107.619326," Jl. Aceh No. 79 (Seberang Gedung PMI), Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,Senin - Minggu (12:00 - 21:00),Tunai,no,no,yes,no,no,yes,no,no,no,no,no
