,resto_id,name,cuisine_type,is_official,lat,long,location,average_price,overall_rating,rating_rasa,rating_suasana,rating_harga_rasa,rating_pelayanan,rating_kebersihan,open_time,payment_method,wifi,delivery,smoking_area,outdor_area,24hour,100%_halal,VIP_room,reservation,parking_area,alcohol,vegetarian
0,1642422817648878,Terai Coffeatery,[ Kafe ],True,-6.887844492152889,107.62," Jl. Tubagus Ismail Raya No. 175, Dago Atas, Bandung ", Di bawah Rp. 50.000 /orang ,4.32,4.3,4.5,4.3,4.2,4.3,Senin - Minggu (09:00 - 20:00),"Tunai,Debet,Ovo",yes,no,yes,yes,no,yes,no,yes,yes,no,no
1,164242282518111,Equator Coffee & Gallery,[ Kafe ],False,-6.899537,107.610458," Jl. Sulanjana No. 32, Dago Bawah, Bandung ", Rp. 50.000 - Rp. 100.000 /orang ,4.32,4.2,4.6,3.8,4.4,4.6,"Senin - Jumat (09:00 - 21:00), Sabtu - Minggu (10:00 - 22:00)","Tunai,Visa,Master,Debet,Go-pay,Ovo",yes,no,yes,yes,no,yes,yes,yes,yes,no,no
2,1642422830535959,One Eighty Coffee and Music,[ Kafe ],True,-6.893863,107.612421," Jl. Ganeca No. 3, Dago Bawah, Bandung ", Rp. 50.000 - Rp. 100.000 /orang ,4.11,4.1,4.5,3.8,4.0,4.2,"Senin - Sabtu (08:00 - 21:00), Minggu Tutup","Tunai,Visa,Master,Debet,Go-pay,Ovo",yes,no,yes,yes,no,yes,yes,yes,yes,no,no
3,1642422843615989,Two Hands Full,[ Kafe ],False,-6.892483,107.6127496," Jl. Ir. H. Juanda No. 113, Dago Bawah, Bandung ( Alamat Lama: Jl. Sukajadi No. 198A, Sukajadi, Bandung ) ", Rp. 50.000 - Rp. 100.000 /orang ,4.04,4.3,4.1,4.1,3.7,4.0,Senin - Minggu (08:00 - 20:00),"Tunai,Visa,Master,Debet,Ovo",yes,no,yes,yes,no,no,no,no,yes,yes,no
4,164242285404013,Noah's Barn,[ Kafe ],True,-6.887151,107.612748," Jl. Dayang Sumbi No. 2, Dago Bawah, Bandung ", Rp. 50.000 - Rp. 100.000 /orang ,4.1,4.0,4.5,3.7,4.0,4.3,Senin - Minggu (11:00 - 23:00),"Tunai,Visa,Master,Debet",yes,no,yes,yes,no,yes,yes,yes,yes,no,no
5,1642422862786623,Old Ben's,[ Kafe ],False,-6.900378,107.613671," Jl. Diponegoro No. 3A, Dago Bawah, Bandung ", Rp. 50.000 - Rp. 100.000 /orang ,4.03,4.3,4.5,3.4,3.9,4.0,"Senin - Jumat (10:00 - 21:00), Sabtu - Minggu (08:00 - 22:00)","Tunai,Visa,Master,Debet,Go-pay,Ovo",yes,no,yes,yes,no,yes,no,yes,yes,no,no
6,1642422870321724,Gyu Kaku,[ Jepang ],False,-6.899381,107.613491," Jl. Pangeran Kornel No. 7, Dago Bawah, Bandung ", Di atas Rp. 200.000 /orang ,4.24,4.5,4.2,3.9,4.5,4.2,Senin - Minggu (10:00 - 22:00),"Tunai,Visa,Master,Debet,Go-pay,Ovo",yes,no,no,no,no,yes,yes,yes,yes,yes,no
7,1642422876226716,Armor Kopi Leuit,[ Kafe ],False,-6.858281,107.632173," Jl. Bukit Pakar Utara No. 10, Dago Atas, Bandung ", Di bawah Rp. 50.000 /orang ,3.97,3.7,4.6,3.9,3.8,3.8,"Senin - Jumat (08:00 - 21:00), Sabtu - Minggu (08:00 - 22:00)","Tunai,Debet,Ovo",no,no,yes,yes,no,yes,no,yes,yes,no,no
8,1642422883939183,GrindJoe Coffee - Moxy Hotel,[ Kafe ],True,-6.900271,107.612103," Moxy Hotel, Lantai Lobby Jl. Ir. H. Juanda No. 69, Dago Bawah, Bandung ", Di bawah Rp. 50.000 /orang ,4.26,4.1,4.4,3.9,4.4,4.5,Senin - Minggu (10:00 - 21:00),"Tunai,Debet,Go-pay,Ovo",yes,no,yes,yes,no,yes,no,no,yes,no,no
9,1642422888153678,Chingu Korean Fan Cafe,[ Korea ],False,-6.901199,107.609911," Jl. Sawunggaling No. 10, Dago Bawah, Bandung ", Rp. 50.000 - Rp. 100.000 /orang ,3.97,3.8,4.3,3.8,3.9,4.1,Senin - Minggu (10:00 - 21:00),"Tunai,Visa,Master,Debet,Go-pay,Ovo",yes,no,yes,yes,no,yes,yes,yes,yes,no,no
10,1642422898545291,Kopi Warga,[ Kafe ],False,-6.901101,107.612796," Jl. Ir. H. Juanda No. 48, Dago Bawah, Bandung ", Di bawah Rp. 50.000 /orang ,4.09,4.2,4.4,3.8,3.9,4.2,Senin - Minggu (09:00 - 22:00),"Tunai,Visa,Master,Debet,Go-pay,Ovo",yes,no,yes,yes,no,yes,yes,yes,yes,no,no
11,1642422905518882,Cafe D'Pakar,[ Indonesia ],False,-6.846718,107.649802," Jl. Sekejolang, Dago Atas, Bandung ", Di bawah Rp. 50.000 /orang ,3.93,3.8,4.8,3.8,3.8,3.6,"Senin - Jumat (10:00 - 21:00), Sabtu - Minggu (09:00 - 21:00)","Tunai,Visa,Master,Debet",yes,no,yes,yes,no,yes,no,yes,yes,no,no
12,1642422914803346,Justus Steakhouse,[ Barat ],False,-6.901233,107.611809," Jl. Ir. H. Juanda No. 59, Dago Bawah, Bandung ", Rp. 100.000 - Rp. 200.000 /orang ,4.16,4.2,4.3,4.0,4.1,4.2,Senin - Minggu (10:00 - 21:00),"Tunai,Visa,Master,Debet,Go-pay,Dana",yes,no,yes,yes,no,yes,yes,yes,yes,no,no
13,164242292139991,The Stone Cafe,[ Kafe ],False,-6.865246,107.626971," Jl. Rancakendal Luhur No. 5 (Gerbang Dago Resort), Dago Atas, Bandung ", Rp. 50.000 - Rp. 100.000 /orang ,4.18,4.1,4.7,3.6,4.2,4.3,"Senin - Jumat (11:00 - 22:00), Sabtu (11:00 - 23:00), Minggu (11:00 - 22:00)","Tunai,Visa,Master,Debet",yes,no,yes,yes,no,yes,no,yes,yes,yes,no
14,1642422925443555,Kartika Sari,[ Toko Roti dan Kue ],False,-6.897493,107.612217," Jl. Ir. H. Juanda No. 85, Dago Bawah, Bandung ", Di bawah Rp. 50.000 /orang ,4.01,4.5,3.7,4.2,3.7,3.9,"Senin - Jumat (07:30 - 17:30), Sabtu - Minggu (07:30 - 18:00)","Tunai,Visa,Master,Debet,Go-pay,Ovo",no,no,no,no,no,yes,no,no,yes,no,no
15,1642422932799457,Smash and Shake,[ Kafe ],False,-6.900192,107.611942," Jl. Sulanjana No. 1, Dago Bawah, Bandung ", Di bawah Rp. 50.000 /orang ,4.12,4.2,4.4,4.0,3.8,4.2,Senin - Minggu (10:30 - 21:00),"Tunai,Visa,Master,Debet",yes,no,yes,yes,no,yes,no,yes,yes,no,no
16,1642422938035352,Eat Boss,[ Kafe ],True,-6.897381,107.613056," Jl. Ir. H. Juanda No. 72, Dago Bawah, Bandung ", Rp. 50.000 - Rp. 100.000 /orang ,3.95,3.8,4.1,4.3,3.7,3.9,"Senin - Sabtu (12:00 - 21:00), Minggu (08:00 - 21:00)","Tunai,Visa,Master,Debet,Go-pay,Ovo",yes,no,yes,yes,no,yes,no,yes,yes,no,no
17,164242294472456,Parc.C,[ Kafe ],False,-6.882451,107.613811," Jl. Kidang Pananjung No. 5C, Dago Atas, Bandung ", Di bawah Rp. 50.000 /orang ,4.26,4.0,4.7,4.0,4.4,4.1,Senin - Minggu (10:00 - 22:00),"Tunai,Visa,Master,Debet",yes,no,yes,no,no,yes,no,yes,yes,no,no
